description,business_tags,sector,category,niche
"KB Sports (China) Co., Ltd. is a high-tech enterprise that specializes in the research, development, production, and sales of anti-cancer and chemotherapy system drugs. The company has a team of highly qualified research and development personnel, advanced testing equipment, and advanced research and testing equipment. They have independently developed several new drugs that have been brought to the market or are in development. The production scope of their products covers general drugs and cancer drugs, and they have multiple production workshops for raw materials, solid dosage forms, and dosage forms.","['Compound Development', 'Pharmaceutical Research and Development', 'Pharmaceutical Disinfectants', 'Topicals, Compounds, and Pharmaceutical Quality Research', 'Formulation Development', 'Topically or Sub-traced Products', 'Softgels, Adhesives, Tapes, Capsules', 'Topical Treatments', 'Softgel Manufacturing', 'Pharmaceutical Sales', 'Cold-pressing and Water-jetting']",Manufacturing,Pharmaceutical Products,In-Vitro Diagnostic Substance Manufacturing
"New Vichar Sandesh is a company that provides hand sanitizer at affordable rates at the Mrignani Emporium, operated by SLIC. The company aims to prevent the spread of Covid-19 among small businesses. The Chief Minister, Shri Shivaraj Singh Chauhan, recently reviewed the preparations for wheat supply during the Rabi season and discussed proposed wheat supply programs due to the Coronavirus infection. Vardhan Textiles Company donated Rs. 1 crore to the CM Relief Fund for COVID relief work, and HEG Limited donated an amount of one crore Rupees to the PMRRF and provided assistance with food supplies.","['Wheat Supplies Preparation', 'Hand Sanitizer Availability', 'Relief Fund Donations', 'Governmental Organization', 'Textile Donations', 'COVID-19 Prevention Measures']",Manufacturing,"Minerals, Earths & Ores","Kaolin, Clay, and Ceramic and Refractory Minerals Mining"
"The Konotop City District Court of Sumy Oblast is the highest court in Sumy Region, Ukraine. It is responsible for the administration of justice in the region and is one of the courts in Ukraine. The court handles a wide range of legal proceedings, including criminal cases, civil suits, and administrative proceedings. It provides information on the structure of the court, the structure and management of the judges, and the working mode of the judicial system. The Court also offers online broadcasts of court proceedings and provides information for people with disabilities and other mobility-impaired groups. Additionally, the court provides information about the stages of a case, the procedure for reimbursing the costs of copying or printing documents provided to requestors in court, and a list of court cases scheduled for hearing. The Konottop District Court is committed to anti-corruption activities and operates under martial law.","['Public Information Request Services', 'Legal Proceedings', 'Court Administration Services', 'Electronic Form for Citizens Petitions', 'Online Broadcasts of Court Proceedings', 'Fines Judgments', 'Mobility-impaired Services', 'Judicial Organization', 'Information for People with Disabilities', 'Legal Services for The Visually Impaired', 'Court Call Books', 'Free Legal Aid Services', 'Automated Court Documentation System']",Government,Courthouses,Courts
"Mago Indústria is a Brazilian confectionery company that has been in the market for over 30 years. They offer a complete portfolio of high-quality products, including Bicos de Confeitar, Colorants, Forminhas, Ingredients, Powder of Decoration, Flavouring, Bags of Candy, Tools and Accessories, and Sprinkles. The company encourages teachers in the area to teach and disseminate confectionary legacy, motivating dreams. Mago Indústadria is the largest confectioneria company in Brazil and offers a variety of confectioneries, including Forminha Metalizado Prata N.02 Lisa 100un and Forminhe Metalizados Ouro N.05 Lisa 12un. They also provide recipes and information on how to calculate the size of cake for guests.","['Conveying Products', 'Baking Ingredients', 'Cosmetics Manufacturer', 'Candy Bags', 'Conveyor Confections', 'Cake in The Pot', 'Food Delivery', 'Private Label Manufacturing', 'Credit Card Payment', 'Colorant Products', 'Bathroom Facilities', 'Educational Courses', 'Decoration Powdering', 'Tools and Accessories', 'Sustainable Manufacturing', 'Confectionery Sprinkles', 'Confectionery Manufacturing', 'Brand Development Services', 'Personal Care Products Manufacturer', 'Pastry Shop', 'Wheelchair Accessible Entrance']",Manufacturing,Bakeries & Desserts,Nonchocolate Confectionery Manufacturing
"Kulturaggregat e.V. is a non-profit sociocultural association founded in 2014 by a collective of around 20 artists, cultural workers, and individuals interested in culture. Their goal is to bring more art, subculture, and social discourse into public space. They aim to create a free space for culture and connect people who want to develop their creativity. Their current project, hilda5, is a platform, art room, and laboratory all-in-one, located in the old Art Nouveau house at Hildastraße 5 in Freiburg. It offers about 500 square meters of free spaces for exhibitions, concerts, readings, workshops, and performances by international and local artists, as well as street art projects. In addition to a spacious gallery, hild5 features an elegant stage and the kulturagregat-kinoklub, which is probably the smallest cinema in town.","['Performing Arts Promotion', 'Cultural Events Organization', 'The Art Room', 'Artistic Laboratory', 'Street Art', 'Artistic Performances', 'Vinyl Records', 'Sports Event Management Services', 'Cultural Films', 'Art Exhibitions', 'Film Screenings', 'Cultural Organization', 'Cultural Center', 'Electronic Music Genres', 'Sports Event Organization', 'Art Workshops', 'Art Gallery', 'Used Records', 'Non-profit Socio-cultural Organization', 'Event Hosting Services']",Services,Event Planner Services,"Promoters of Performing Arts, Sports, and Similar Events with Facilities"
"Principled Chiropractic is a healthcare provider located in Lawrenceburg, Indiana, United States. The practice specializes in chiropractic care and family practice medicine.","['Headache and Migraine Chiropractor', 'Health and Wellness Services', 'Sciatica Chiropodists', 'Pregnancy Chiropody', 'Personalized Treatment Plans', 'Chiropractic Care Services']",Services,Chiropractors,Offices of Chiropractors
"Corsor is a company that specializes in providing high-performance memory modules for gamers and enthusiasts. Their DDR3 memory kits, available in capacities of up to 16GB, are designed to offer excellent performance in overclocking on AMD and Intel platforms. The company offers 1.5V memory modules with 4GB and 8GB modules, running at speeds up to 1600MHz, as well as an 8GB kit with a 4GB module that runs at speeds of up as high as 1866MHz. Prices start at $75 for a single 4GB RAM module and go up to $306 for a top-end 16GB module.","['CPU and RAM Information', '1.5V Memory Modules', 'Website Development Services', 'DDR3 Memory Modules', 'Monitoring Services', 'Web3d Modeling for Web Hosting']",Manufacturing,Electronical Components Retailer,Computer Storage Device Manufacturing
"CNCrusher Machinery is a Chinese company that specializes in the manufacturing of mining machinery, including rough crushing, medium crushing, fine crushing, sand making, sand washing, feeding, grinding, transportation equipment, mobile crusher, and milling equipment. The company has extensive experience in installing production lines in over 160 countries worldwide. CNCrushers are known for their national patent machines, such as the XZM micro mill, MTM grinder, and B-series deep row vertical impact crusher. They manufacture every type of machine with the utmost care to ensure excellent quality. The CNC R&D team consists of 78 senior engineers, including seven top-ranked engineering professionals who have received the Central Government Special Award for their contributions to science and technology. The modern development includes MTW series mill, vertical grinder and hydraulic impact crushers, crane-mounted crushers and PEW Series forklift crushers.","['Crane Crushers Manufacturer', 'MTW Mill', 'Research and Development', 'National Patent Machines', 'Mining Machinery', 'Sand Washing Machines Manufacturer', 'B-series Deep Row Vertical Impact Crusher', 'Crushing and Grinding Equipment Manufacturer']",Manufacturing,Heavy Construction Equipment,Mining Machinery and Equipment Manufacturing
"Guangzhou Hongbao Biping Biping Machinery Co., Ltd. is a company located in Pingtang County, Guangdong Province, China. They offer a range of products and services including home cleaning, artificial leather, fashion accessories, advertising materials, mirrors, natural fibers, pressure-sensitive components, fragrances, floor cleaning, and window cleaning. The company is committed to providing high-quality products and excellent customer service to its clients.","['Ceiling Tiebacks Supplier or Manufacturer', 'Sandpaper Supplier Services', 'Hose & Tubing', 'Installation Repair Materials Supplying/manufacturing/supplying', 'Cable Wall Paneling Supplier, Manufacturer', 'Hose Clamps', 'Heat Exchangers Manufacturer', 'Waste Handling Processes Supplier Services', 'Product Distribution', 'Pipe Clamp Manufacturer', 'Food and Drink Supplier', 'Air Conditioning Repair Materials and Manufacturer']",Manufacturing,Leather Processing,Other Leather and Allied Product Manufacturing
"Cafe-Cafe resort Disersan Bajuri Bandung is a company that operates a cafe-cafe resort located in Bajura bandung, Indonesia. They offer a variety of food and beverage options, including coffee and tea. The company is known for its high-quality products and services.","['Watch Winders', 'Manufacturing', 'Retail', 'Watch Box', 'Luxury Jewelry']",Services,Pubs & Bars,Snack and Nonalcoholic Beverage Bars
"Panadería Petri is a bakery located in Villena, Valencian Community, Spain.","['Digital Kit Program', 'Bakery Ingredients Distributor', 'Online Retail', 'Chocolate Panettones']",Retail,Bakeries & Desserts,Baked Goods Retailers
"Laverie LAV'MARCK is a business located in Paris, France, operating in the categories of laundromat, herb shop, and package locker services.","['Transgender Safes', 'Laundry and Dry Cleaning Services', 'Parking Facilities', 'Bathroom Facilities', 'Herbal Products', 'Package Lockers', 'Seating Options', 'Onsite Services', 'Wheelchair Accessible Entrance']",Services,Dry Cleaners,Drycleaning and Laundry Services (except Coin-Operated)
"Graco is a leading manufacturer of juvenile products, including the Graco Nautilus 3-in-1 Toddler Car Seat, which features an extended five-point harness design that can accommodate children over the age of one and can accommodate them from 20 to 100 pounds in weight. The car seat easily converts to a high-back booster and backless booster as the child grows, and its steel-reinforced structure ensures safety and durability for years of use. The Nautilus meets or exceeds US safety standards and has extensive crash testing. Graco was founded in 1942 and is known for creating the world's first wind-up infant swing.","['Manufacturing', 'Car Seats Manufacturer']",Manufacturing,Auto Parts Manufacturers,Motor Vehicle Seating and Interior Trim Manufacturing
"Chicago in Solidarity to End Violence Against Sex Workers is a global movement that aims to demand justice for murdered sex workers and an end to all policies criminalizing sex work. The movement was formed in memory of Jasmine and Dora, and seeks to show that the same policies that create situations that make sex workers' lives disposable in places like Sweden and Turkey exist in Illinois as well. The group organized a successful rally in Chicago on July 19th, 2013, where around a dozen sex workers, allies, and supporters converged on the office building housing the Swedish consulate to demand full decriminalization and human rights for sex workers. The rally included signs displaying slogans such as ""Sex Work Is Real Work,"" ""End Demand Endangers Sex Workers,"" ""Sex Worker Rights = Labor Rights = Trans Rights = Human Rights,"" and ""#JusticeForJasmine #JusticeForDora #StigmaKills."" The group received messages of support and gratitude from people across the U.","['Online-online Solidarity Platform', 'Community Building', 'Social Media Support', 'International Day of Protest']",Non Profit,Domestic Violence NGOs,Human Rights Organizations
"Carousel Buses Ltd is a transportation company that operates bus services in and around High Wycombe and Buckinghamshire. They offer a range of services including school bus services, airport transfers, and an on-demand minibus service called PickMeUp. The company is part of the Go Ahead Group and provides a mobile medium for advertising with their fleet of buses and coaches that can accommodate up to 1000 people. Carousel Bussels also offers bus driving jobs for those interested in a career in the transportation industry. The cost of local bus journeys is currently £2 each way, and the company aims to enhance the benefits of bus travel for their customers.","['Commuter Travel Solutions', 'Eco-friendly Bus Fleet', 'Bus Service Maintenance', 'Group Travel Buses', 'Local Bus Network', 'Airport Shuttle Transport', 'Public Transport Provider', 'Regional Transit Operations', 'Bus Fleet Operations', 'Accessible Transportation Services', 'Transit System Management', 'Passenger Transportation', 'Interurban Coach Services']",Services,"Buses, Shuttles & Local Transit",Bus and Other Motor Vehicle Transit Systems
"Renting Cars is a car rental company located on the Gold Coast that offers long-term car rentals starting from $198 per week. They provide a low-cost solution for those who require a quality vehicle for a longer period without using expensive main stream rental companies. Renting Cars offers a range of quality, popular, and reliable vehicles that are well-maintained, have up-to-date servicing, and are mechanically excellent. They include insurance and road side assistance on all their vehicles with no hidden costs. The rental process is quick, simple, and hassle-free, and the company offers the option to own the car outright after 2.5 years of rental.","['Popular Cars', 'Up-to-date Servicing', 'Insurance Coverage', 'Well-maintained Vehicles', 'Gold Coast Car Rotation', 'Long-term Car Rental Services', 'Roadside Assistance Services', 'Mechanically Excellent Vehicles']",Services,Car Rental,Passenger Car Rental
"The company is a multi-agency dispatch center that offers services to the towns of Milford, Mont Vernon, Wilton, and Lyndeborough New Hampshire.",['Multi-agency Dispatch Center'],Services,Call Centers,Telephone Answering Services
"Paleros Yacht Services (PYS) is a professional yacht maintenance company located in Lefkas Marina, Lefkada, Greece. They offer a range of services including repairs and maintenance, spare parts and chandlery, and green energy charter brokerage. PYS is an official marine dealer for various brands such as Caterpillar, Volvo Penta, Yanmar, Mercury, Opacmare, and Victron. With over 18 years of experience, PYS has established an international reputation for excellence in service and meticulous attention to detail. They are dedicated to serving private boats visiting or staying in the Ionian Islands for extended periods of time. Pys also offers winterization services to prepare yachts for the winter months and comprehensive preparations for summer.","['Insurance Jobs', 'Battery Maintenance and Replacement', 'Grp/epoxy Repairs Services', 'Oil and Fuel Filter Changes', 'Engine Room Cleaning', 'Plumbing and Pump Repair', 'Bilge Cleaning', 'Spare Parts Supply', 'Generator Maintenance', 'Mast Rigging', 'Electrical Installations and Repairs', 'Complete Refits', 'Engine Replacement', 'Complete Mechanical Repair', 'Winterization and Spring Commissioning', 'Air Conditioning Installation and Repair Services', 'Fuel System Maintenance', 'Outboard Repairs & Service', 'Maintenance Services']",Services,Boat Tours & Cruises,Other Support Activities for Water Transportation
"Henan Huabao Building Materials Co., Ltd. is a Chinese company located in the Longshan Industrial Park of Nanjing, Henan Province. The company has 12 production lines and produces a range of products including high-grade waterproofing membranes, high-quality latex 821 powders, high strength stone mixtures, cross-linked stones, and exterior mixtures of these products. With an output of up to 500 tons per day, the company is known for its intelligent production and scientific management, making it one of the most advanced fully automatic masonry powder production bases in Henan. The products are widely used in various industries such as construction, public buildings, hotels, hospitals, schools, and offices, and are known for their high quality and durability. The materials produced by the company are used in waterproofing, insulation, and other applications.","['Light Tapes Producer', 'Automated Tapes Production Equipment', 'Powder Coating Tarpaulins', 'Flexible Protective Exhibitions Tapes Provider', 'Toughened Tapes Manufacturer', 'Anti-slip Tapes', 'High-performance Adhesive Tapes', 'Intelligent Production']",Manufacturing,Asphalt & Paving Products,Gypsum Product Manufacturing
"Planec is an information technology and engineering company specializing in critical data transmission systems for copper and fiber optic networks. With expertise in high-density traffic and high-speed demands, Planec understands the importance of reliable 24-hour connectivity for building extra lower voltage (ELV) systems or security systems. They offer solutions for network cabling infrastructure, including copper cable with IP protocol and Power over Ethernet (PoE) systems. Planec provides products and solutions tailored to meet the needs of Building Managers, ensuring reliability, flexibility, and quality for application services.","['Data Transmission Services', 'Copper and Fiber Optic Data Transmission', 'Network Cabinets and Racks', 'Tool Testers', 'Factory Solutions', 'Information Technology Solutions', 'IP Protocols', 'Structured Cabling Solutions', 'Power Over Ethernet', 'Technical Training', 'Security Systems', 'Extra Low Voltage System', 'Building Solutions', 'Network Security Solutions', 'Media Conversion Services', 'Information Technology Engineering', 'Networking Highway for Application Services', 'Engineering Solutions', 'Category Cat6/6a Fiber Optic Multimode', 'LAN Switches', 'Integrated HD Voip Solution', 'Network Management', 'Network Cabling Services', 'Reliable 24-hour Connectivity', 'Wireless Lan', 'Data Center Solutions', 'Half-duplex Data Rate']",Services,Tech Companies,Computer Facilities Management Services
"Naftomar Shipping and Trading Co Ltd is a company that specializes in the shipping and trading of liquefied petroleum gas (LPG) products. Established in Beirut, Lebanon in 1972, the company initially focused on distributing petroleum products in the Mediterranean region. However, it has since expanded to become a major player in the LPGP market, with a chartering and ship management office in Piraeus, Greece, and a representative office in Paris under the name of Chemigaz S.A.R.L. Naftomar has established effective communication with oil majors, brokers, and the LNG market to provide an international service dedicated to the transportation of LPG. The company is dedicated to quality and service, meeting and exceeding all recognized standards for safety and performance in every aspect of its operations.","['Risk Sharing', 'Maritime Legislation Compliance', 'Petroleum Products Distribution', 'Trading House', 'LPG Distribution Services', 'Problem-solving', 'LPG Transportation Services', 'Fleet Capacity', 'Specialized Recruitments', 'Effective Communication with Oil Majors', 'Ship Agency and Chartering Services']",Services,Trucking and Logistics,Inland Water Freight Transportation
"Al Jazirah Vehicles Spare Parts is an auto parts store located in Ha'il, Saudi Arabia. The company specializes in providing various spare parts for vehicles.","['Wheelchair Accessible Entrance', 'Interior Repair Services', 'Automotive Repair and Maintenance Services', 'Wheel Accessible Entrance', 'Automotive Services', 'Automotive Spare Parts Retailer', 'Bathroom Facilities', 'Car Painting Services', 'Wholesale', 'Accessibility & Parking', 'Auto Repair Shops', 'Car Repair Services', 'Automotive Body Repair Services', 'Automotive Parts Retailer', 'Painting Services', 'Automotive Restoration Services']",Retail,Auto Parts Store,Automotive Parts and Accessories Retailers
"Wissels Bioland Streuobstbau und Kelterei is a German company that specializes in the cultivation of over 800 high and semi-highland fruit trees, primarily traditional Kahlgründer Obstsorten, according to the Bioland-Richtlinien (De-Öko-037, ÖkoP Zertifizierungs GmbH) guidelines. The company offers a variety of fruit-based products, including apple wine specialties, fruit juice syrups, apple wine samples, fruit tree pruning, courses, and apple tree pruners, as well as apple tree ladders and wooden pruning saws. They also provide apple tree cutting services for private customers, associations, municipalities, and businesses. The fruit is available as table trees or as direct purchases and is processed into apple wine and apple juice specialties.","['Fruiting Trees & Shrubs', 'Fruit Tree Cultivation and Care Services', 'Apple Wine Specialties Cultivation Courses', 'Retail Trade', 'Fruit and Vegetable Cultivation', 'Fruit and Vegetable Retailer']",Manufacturing,Timber & Wood Products,Apple Orchards
"CanadaMetals.ca, a service of CPE Media Inc., is a news and information provider for Canadian and international metal and mineral companies. Their mission is to offer a comprehensive source for all things related to Canadian metals and mineral resources. They provide news, analysis, and information on various metals and minerals, including base metals, base metals such as copper, nickel, zinc, lead, tin, iron, tungsten, molybdenum, manganese, and magnesium, as well as other minerals like aggregate, coal, gypsum, potash, and silica. The company covers news and updates on mining and metals-related topics, including private and public offerings, mergers and acquisitions, and strategic partnerships.","['Joint Venture', 'Asset Acquisition', 'Debt Financing', 'Metal and Mineral News and Insights', 'Canadian Minerals', 'Private Capital News', 'Media and Publishing']",Manufacturing,"Minerals, Earths & Ores",Other Metal Ore Mining
"Sichuan Huabao通机梄博博山兴通機厂 is a Chinese company that specializes in the production, design, and sale of gearbox machinery equipment. The company is located in Huabiao, a well-known city in China's power industry and tourism industry. They offer a range of gearboxes, including four-wheel series gearboxes such as HB series, hard-facing series gearbox, planetary gearbox series, cylindrical gearboxes, and plastic-ceramic gearboxes. Additionally, they design and manufacture a variety of non-standard machinery equipment, including electric roller shuttles. The use of gearmotors in industrial production is a growing trend in recent years, and the company's products are used in various industries.","['Standard Machinery', 'Support Services', 'After-sales Support', 'Teleconferencing Equipment Manufacturer', 'Free Design Services', 'Telescopic Cranes with 4 Legs', 'Production', 'Hoists Manufacturer', 'Telescopic Handlers', 'Designing and Selling']",Manufacturing,Engines,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
"Umi's Diary is a company that specializes in gourmet food products, particularly puddings. They offer a variety of pudding options from different brands such as Torak, Seijo Ishii, Yamazaki, Precia eMitas, Global Foods, Pastel, Lawson Uchi Café, and Hokkaido Dairy. Their products include sweet and savory pudders, such as the ""Uma-salt milk pudding"" from Torak and the ""Cup Marche Shimizu white peach pudding from Okayama Prefecture"" from Pastel. They also offer authentic Japanese sweets like the ""Matcha & Milk Pudding"" from Lawson Uji Café.","['Life-changing Organizers Services', 'E-commerce', 'Life Controlling Organizers', 'Home Organizers', 'Retail', 'Grocery Organizers Supplier', 'Planner Selection Assistance', 'Redesigned Daily Planner', 'Product Recommendation Assistance']",Retail,Groceries,All Other Specialty Food Retailers
"Ufpa.ru is a company that operates in the science and technology industry, specifically in the field of digital transformation and automation of business processes. They host the Global Tech Forum, a conference-exhibition event focused on digital transformation. Additionally, they provide news and updates on various topics such as the Steam charts, HBO Lights Greenlight, and the Coronavirus pandemic.","['Expert Opinions on IT Services', 'IT Internship Benefits', 'Science and Technology Information Provider', 'The First Descendant Blowups Steam Chart', 'Investment Guidance for Startups', 'Startup Organization in The Crisis', 'Tutorials for Start-ups', 'Video Game Industry News and Reviews', 'BOH Lights Greenlight: New Lantern Series']",Services,Newspapers & Magazines,Newspaper Publishers
"Lucky Seed is a seed company based in Ukraine that specializes in the production and sale of seeds and hybrids for vegetable crops. They offer a wide range of products under the trademark Lucky Seed, including seeds for corn, wheat, wheatgrass, vegetable seeds, maize, cabbage, tomato, zucchini, carrot, cucumber, pepper, sweet peppers, hot pepper, radish, radishes, onion seeds, and beetroot. Lucky Seed's seeds are available for purchase in stores such as Seed Supermarket, Agrolife, and Seed Empire. The company's breeding program focuses on improving the best varieties and hybrids of vegetable crops to meet the demands of even the most demanding consumers. Lucky Seeds has created popular hybrids such as white-root cabbage Garantiia F1, Askania F1 and Artek F1.","['Wheatgrass Seeds by Mail', 'Carrot Seeds', 'Maize Seeds', 'Eggplant Seeds', 'Cabbage Seeds', 'Watermelon Seeds', 'Wholesale Tomato Seeds', 'Beet Seeds', 'Hybrids', 'Sweet Peppers Seeds', 'Zucchini Seeds', 'Seed Sales', 'Onion Seeds', 'Radish Seeds']",Manufacturing,Farms & Agriculture Production,Dry Pea and Bean Farming
"Apex Fire Solutions is a company that specializes in conducting fire risk assessments and remediation works on commercial and residential buildings in London and the surrounding regions. They offer comprehensive assessments tailored to the specific needs of each site, with a knowledgeable staff of fire safety experts who conduct a thorough examination of the unit and common areas to spot any fire dangers. The company provides full system installation of both domestic and commercial properties, including HMOs, and ensures that the fire alarm system complies with legal standards. In compliance with Bs5839 part 1, Apex Fire Solutions arranges and carries out scheduled preventive maintenance inspections either quarterly or six months apart according to their clients' needs. They also maintain good relationships with the manufacturers of the clients' systems, offering technical assistance for installation and maintenance.","['Fire Risk Assessment Remedial Works', 'Remedial Works', 'Technical Checks', 'System Upgrades', 'Smoke Vents', 'Small Works', 'Fire Protection Equipment Installation and Maintenance', 'Fire Suppression and Extinguishers']",Services,"Alarms, Surveillance & Security Systems","All Other Professional, Scientific, and Technical Services"
Swirl Guitars UK is a family-owned business that specializes in creating affordable custom guitars. They offer a wide range of acoustic and electric guitars that can be customized to meet the specific needs of their customers. Each guitar is made and assembled by hand and finished with either a unique Swirl style hand-painted finish or a traditional plain finish. Swirl Guills UK also offers a 'Request a Build' option for customers who want a one-of-a-kind creation. The company prides itself on being run by musicians who understand the needs of guitarists and aim to fill the gap in the guitar custom building market.,"['Musical Instrument Manufacturing', 'Budget Guitars Manufacturer', 'Boutique Electric Guitar Builder', 'Retail', 'Production']",Manufacturing,Musical Instruments & Music Stores,Musical Instrument Manufacturing
"Barock Horse Stable is a Dutch company that specializes in the transportation and sale of horses and ponies. Formerly known as Manege Vrieswijk, the company has since changed its name to Barock Horse and has expanded to include a transport business, a collection site for horses, and the Barock horse stable.","['Horse Boarding Services', 'Boarding and Training Services', 'H Services for Horses']",Manufacturing,Livestock & Animal Raising,Horses and Other Equine Production
"The company is an online store that offers a wide range of products in various categories such as fashion and accessories, beauty and health, pet supplies, automotive, sports and fitness, home and garden, and more. They provide a variety of items including clothing, shoes, bags, and other accessories for men, women, and children. The store offers a range of payment methods and payment methods for their customers.","['Household Appliances Retailer', 'Appliances for Washing Machines', 'Washing Machines Retailer', 'Household Appliance Sales', 'Refrigerators Retailer', 'Dryers Retailer', 'Microwaves Retailer', 'Dishwashers Retailer']",Retail,Buyback Shops,Warehouse Clubs and Supercenters
"Sun Energo is an electric utility company based in Yekaterinburg, Russia. It operates in the fields of energy equipment and solutions, specializing in green energy and solar energy. The company is involved in the development and supply of solar photovoltaic power plants.","['Green Energy Solutions', 'Energy Equipment', 'Solar Power Plants Development and Operation', 'Electric Utilities']",Wholesale,Utility companies,Electric Power Distribution
"The World Grain & Oil Conference, also known as WorldGrainOilConference.com, is an annual global platform that aims to create a prominent global standard in the field of grain and oil. The conference brings together leading scientists, entrepreneurs, and investors from around the world to showcase new technologies, products, formats, and trends in the grain and petroleum industry. The platform features panels on topics such as the World Grain Oil Conference Forum, World Oil Expo, World Grain Prize, and World Oil Challenge. The event provides a platform for industry leaders, research institutes, investment institutions, and distributors to network and collaborate. The World Grain and Oil Conference is considered the most important platform for those in the global grain and fuel industry.","['Conference Organization Services', 'Knowledge Exchange Services', 'Latest Developments Showcase']",Manufacturing,Oil & Gas - Extraction & Distribution,Crude Petroleum Extraction
"Sony Bravia is a premium brand of LED televisions produced by Sony. The company offers a range of products, including the Sony Bravia Kdl-46Hx800 3D HDTV Compatible Full Motion Dual Arm TV Wall Mount and the Sony Bravia Kdlhx820 55-Inch 1080p 3D LED HDTV with Built-In Wi-Fi, both of which are available for purchase at discounted prices. The dual arm design of the TV mount is sturdy and can support a wide range of plasma and LCD flat screen televisions. However, certain Pioneer and Sharp brand TVs are not compatible with the mount.","['HDMI Cables', 'Sony Products Retailer', 'Mounting Hardware', 'Universal Swivel Mount', 'Online Retail', 'User Manuals']",Wholesale,Electronics Stores,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers"
"Dieselpower Chiptuning Diesel Petrol Engines is a global leader in the field of chip tuning, specializing in TÜV-tested and legal chip tuning for diesel and gasoline engines. The company offers chip tuning services for various types of vehicles, including cars, vans, trucks, tractors, work machines, and railcars. They provide optimization modules for engines with Euro 6d Isc-Fcm, Euro 6e, Euro 7 ""Ready"" and Stage 5 emissions standards, with digital sensors and integrated sensor monitoring. Diesel POWER and MultiMotion are the two modules offered by the company, which correspond to the latest state-of-the-art technology for every vehicle, with the best quality and optimization options. The Diesel Power module is specifically designed for cars and vans with Turbo Diesel engines, while the MultiMotion module is for vehicles with Turbo Petrol Petrol engines.","['140 Mhz Processor Technology', 'State-of-the-art Software and Hardware', 'Integrated Monitoring Sensors', 'Optimization Module', 'Homologation Extensions', 'Electronic Generation for Diesel Engines', 'Tüv-certified Chip Tuning', 'Chip Tuning Services', 'Special Customer-specific Coordination', 'Part Approval Process and Documentation', 'Digital Sensors']",Manufacturing,Engines,Other Engine Equipment Manufacturing
"The company offers a range of car brands including Audi, Citroën, Mercedes, Peugeot, Seat, Škoda, Toyota, and Volkswagen. They provide a variety of models such as the Toyota Aygo X, Hyundai i10, Suzuki Ignis, Suzuki Swift, Toyota Yaris, Seat Ibiza, Hyundai Bayon, Volkswagen T-Cross, and Hyundai i30. The vehicles are available in different colors including pure white, flame orange pearl, and bright red. The company also offers hand-selected transmissions and automatic systems.","['Automotive Leasing Services', 'Volkswagen Polo', 'Toyota Aygo', 'Toyota Yaris Cross', 'Automotive Dealership', 'Suzuki Vitara']",Services,Car Rental,Passenger Car Leasing
"Boutique Traitement de l'air is an online store that specializes in air purification products. They offer a range of products including filters for air purifiers and air purifier models. Their product line includes a variety of air purifying equipment such as a portable O-zone generator, ozone generator, and ozone sterilizer. They also offer a new generation of car diffuser kits that remove odors and freshen up the interior of vehicles. Additionally, they sell various types of fans for wall and ceiling ventilation.","['Air Purifier Filters', 'Sterilization Boxes']",Manufacturing,Industrial Air Solutions,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
"Loveingcart is an Indian company that specializes in multi-category gifting, offering a wide range of gifts, flowers, cakes, and personalized products for various personal occasions and festivals. They have been in the gifting industry since 2012 and have a strong network of stores and a team of gift connoisseurs to assist customers in finding the perfect gift for every person and occasion. In addition to delivering flowers, they also offer surprise gifts such as cakes, chocolates, teddy bears, and sweets. Loveingcart provides a variety of cakes, including fruit, red velvet, butter scotch, pineapple, Rasmalai, chocolate truffle, vanilla, white forest, pinata, kids, designer, bomb, and black forest cakes, as well as flower and cake combos. They also offer personalized gifts for anniversaries, birthdays, and other special occasions.","['Red Velvet Cakes Manufacturer', 'Rasmalai Cakes Seller', 'Gifts for Anniversaries', 'Cakes & Flowers Retailer Service', 'Personalization Services', 'Cakes Retailer', 'Cushion Photos', 'Truffle Cakes Manufacturer', 'Bomb Cakes Designer', 'Vanilla Cakes Producer', 'Personalized Mugs', 'Designer Cakes', 'Snacks and Sweets', 'Teddy Bears', 'Pineapple Cakes Supplier', 'Butter Scotch Cakes Provider', 'Picture Frames', 'Jewelry Accessories', 'Pinata Cakes Producer', 'Photo Cake', 'Black Forest Cakes Wholesaler', 'Snacks & Drinks', 'White Forest Cushions', 'Floral Arrangements', 'Dry Fruit', 'Balloon Bouquets']",Retail,Bakeries & Desserts,Baked Goods Retailers
"The Autocenter Springe is an RV dealer located in Neumünster, Schleswig-Holstein, Germany.","['Recreational Vehicle Dealership', 'Wheelchair Accessible Parking Lot']",Retail,"Motor Homes, Trailers & RVs - Dealers & Rentals",Recreational Vehicle Dealers
